McD/SB,Category,Kind,Item,Energy(kcal),Fat(g),Carbohydrates(g),Fiber(g),Protein(g),Sodium(g)
McD,food,Chiken Snacks,Ranch Snack Wrap (Grilled Chicken),280,13.0,25,1.0,16,0.72
McD,food,Chiken Snacks,Small French Fries,230,11.0,30,2.0,2,0.13
McD,food,Chiken Snacks,Medium French Fries,340,16.0,44,4.0,4,0.19
McD,food,Chiken Snacks,Large French Fries,510,24.0,67,5.0,6,0.29
McD,food,Chiken Snacks,Kids French Fries,110,5.0,15,1.0,1,0.065
McD,food,Sweets/Desserts,Apple Slices,15,0.0,4,0.0,0,0.0
McD,food,Sweets/Desserts,Fruit 'n Yogurt Parfait,150,2.0,30,1.0,4,0.07
McD,food,Sweets/Desserts,Baked Apple Pie,250,13.0,32,4.0,2,0.17
McD,food,Sweets/Desserts,Chocolate Chip Cookie,160,8.0,21,1.0,2,0.09
McD,food,Sweets/Desserts,Oatmeal Raisin Cookie,150,6.0,22,1.0,2,0.135
McD,food,Sweets/Desserts,Kids Ice Cream Cone,45,1.5,7,0.0,1,0.02
McD,food,Sweets/Desserts,Hot Fudge Sundae,330,9.0,53,1.0,8,0.17
McD,food,Sweets/Desserts,Hot Caramel Sundae,340,8.0,60,0.0,7,0.15
McD,food,Sweets/Desserts,Strawberry Sundae,280,6.0,49,0.0,6,0.085
McD,food,Sweets/Snacks,McFlurry with M&M▓s Candies (Small),650,23.0,96,1.0,13,0.18
McD,food,Sweets/Snacks,McFlurry with M&M▓s Candies (Medium),930,33.0,139,2.0,20,0.26
McD,food,Sweets/Snacks,McFlurry with M&M▓s Candies (Snack),430,15.0,64,1.0,9,0.12
McD,food,Sweets/Snacks,McFlurry with Oreo Cookies (Small),510,17.0,80,1.0,12,0.28
McD,food,Sweets/Snacks,McFlurry with Oreo Cookies (Medium),690,23.0,106,1.0,15,0.38
McD,food,Sweets/Snacks,McFlurry with Oreo Cookies (Snack),340,11.0,53,1.0,8,0.19
McD,food,Sweets/Snacks,McFlurry with Reese's Peanut Butter Cups (Medium),810,32.0,114,2.0,21,0.4
McD,food,Sweets/Snacks,McFlurry with Reese's Peanut Butter Cups (Snack),410,16.0,57,1.0,10,0.2
McD,drink,Cold Drinks,Coca-Cola Classic (Small),140,0.0,39,0.0,0,0.0
McD,drink,Cold Drinks,Coca-Cola Classic (Medium),200,0.0,55,0.0,0,0.005
McD,drink,Cold Drinks,Coca-Cola Classic (Large),280,0.0,76,0.0,0,0.005
McD,drink,Cold Drinks,Coca-Cola Classic (Child),100,0.0,28,0.0,0,0.0
McD,drink,Cold Drinks,Diet Coke (Small),0,0.0,0,0.0,0,0.01
McD,drink,Cold Drinks,Diet Coke (Medium),0,0.0,0,0.0,0,0.02
